Child,Age,N.child,H.child,H.child.S,H.child.I,Schild,N.mother,H.mother,H.mother.S,H.mother.I,Smother
nic,931,1498,4.505388393,4.438401064,0.066987329,1.791866029,5372,5.556662802,5.020631322,0.53603148,3.812633073
nic,938,2022,4.65671176,4.552655414,0.104056346,1.978473581,5772,5.532258984,5.006501045,0.525757939,3.958847737
nic,942,2026,4.750180777,4.629785498,0.120395279,1.951830443,5979,5.563228554,5.029070973,0.53415758,4.012751678
nic,947,2076,4.874162984,4.748144759,0.126018226,1.945641987,6287,5.571318142,5.035866078,0.535452063,4.071891192
nic,950,2078,4.783287222,4.65844402,0.124843202,1.969668246,5838,5.606176069,5.063973938,0.542202131,3.920752183
nic,952,2005,4.890920898,4.726563992,0.164356905,2.031408308,5888,5.573235184,5.000325337,0.572909847,3.912292359
nic,952,1896,4.899343505,4.723262326,0.17608118,2.017021277,5636,5.5708784,4.985108607,0.585769793,3.886896552
nic,963,1548,4.886351156,4.678663468,0.207687688,1.918215613,6235,5.582360782,4.991794854,0.590565929,4.069843342
nic,978,1731,4.946222049,4.714250718,0.231971331,1.949324324,5908,5.618437608,5.032063883,0.586373725,3.986504723
nic,993,1848,4.893904449,4.680992336,0.212912113,2.021881838,5868,5.629699618,5.072522579,0.557177039,4.002728513
nic,995,2055,4.836176663,4.640211178,0.195965485,1.944181646,5647,5.546909643,5.022174149,0.524735494,3.943435754
nic,1000,1922,4.749426397,4.626148243,0.123278155,1.888015717,6038,5.566395973,5.063602223,0.502793751,4.115882754
nic,1001,1869,4.756713615,4.627842548,0.128871067,1.857852883,5583,5.518092108,4.980287875,0.537804233,4.063318777
nic,1004,1722,4.820083249,4.673076906,0.147006342,1.921875,5345,5.523192345,4.997996658,0.525195687,4.114703618
nic,1006,1669,4.805800953,4.649168418,0.156632535,1.982185273,4914,5.48363123,4.954084645,0.529546585,4.153846154
nic,1012,2015,4.872755179,4.699087767,0.173667412,2.058222676,5195,5.49324807,5.008239301,0.485008768,4.279242175
nic,1015,2371,4.867112881,4.679706437,0.187406444,2.132194245,4635,5.557167701,5.028194546,0.528973155,4.080105634
nic,1020,2547,4.89802101,4.70822773,0.18979328,2.113692946,4763,5.596804274,5.042327205,0.55447707,3.942880795
nic,1024,2059,4.765572463,4.56592857,0.199643892,2.046719682,5030,5.596907854,5.022503757,0.574404097,3.878180416
nic,1033,1865,4.783840874,4.587610923,0.196229951,2.020585049,5727,5.587864318,5.061365869,0.526498449,3.911885246
nic,1036,1903,4.767303841,4.564507129,0.202796711,2.077510917,5784,5.562175055,5.053863581,0.508311474,3.894949495
nic,1043,2296,4.87583022,4.678463451,0.197366768,2.216216216,5894,5.593371166,5.085298135,0.508073032,3.995932203
nic,1046,2039,4.806000643,4.625153669,0.180846975,2.089139344,5884,5.608889811,5.070119167,0.538770643,4.08895066
nic,1054,1893,4.765747306,4.61678466,0.148962646,1.992631579,5831,5.566871644,5.024457622,0.542414021,4.002059025
nic,1056,1481,4.606637293,4.481452819,0.125184474,1.872313527,5104,5.500573313,4.955490834,0.545082479,3.896183206
nic,1063,1607,4.84092762,4.673563295,0.167364325,2.111695138,5049,5.516387611,4.991542041,0.52484557,4.013513514
nic,1067,1337,4.914765226,4.720163126,0.1946021,2.301204819,4359,5.564990765,5.032311008,0.532679758,4.277723258
nic,1073,1397,4.970369147,4.789540456,0.180828691,2.293924466,4782,5.566500427,5.031294367,0.53520606,4.254448399
nic,1076,1447,4.822569751,4.605072988,0.217496763,2.159701493,4891,5.498984939,4.957270942,0.541713998,4.12742616
nic,1086,1932,4.894440664,4.682007411,0.212433253,2.173228346,5615,5.540835401,4.993002045,0.547833356,4.042476602
nic,1092,2258,4.966590353,4.746874581,0.219715772,2.31352459,5583,5.526832479,4.98112372,0.545708759,3.860995851
nic,1100,2730,4.91300967,4.710073089,0.202936581,2.516129032,5127,5.504932265,4.96784539,0.537086876,3.64911032
